name,prefecture,city,lv01Nm,link,hyoka,comi,yado,onsen_num,dai,roten,sauna,kinen,kokyu,tanjun,enka,tansan,iou,housya,ryusan,sansei,gantetsu,nisan,youso
長湯温泉,大分県,竹田市,直入町大字長湯,http://www.nagayu-onsen.com/index.php,4.55,1097,15,13,9,11,2,12,1,True,False,True,False,False,False,False,True,True,False
阿蘇内牧温泉,熊本県,阿蘇市,内牧,http://onsen.aso.ne.jp,4.08,4359,17,13,11,8,1,13,1,True,False,True,True,True,True,False,False,False,False
湯之谷温泉郷,新潟県,魚沼市,大湯温泉,http://www.yunotani.or.jp/onsenkyo.html,3.85,1404,18,13,10,8,1,13,0,True,False,False,False,True,False,False,False,False,False
小野川温泉,山形県,米沢市,小野川町,http://www.onogawa.jp/index.html/,4.30,2030,14,12,12,8,1,12,1,False,True,False,True,False,True,False,False,False,False
湯の小屋温泉,群馬県,みなかみ町,藤原,なし,4.11,3033,12,12,3,6,1,12,0,True,False,False,True,False,False,False,False,False,False
白子温泉,千葉県,白子町,中里,http://www.shirako-onsen.jp,4.29,1593,15,12,12,6,0,12,1,False,True,False,False,False,False,False,False,False,False
大平台温泉,神奈川県,箱根町,大平台,http://www.ohiradai.com,4.24,632,14,12,4,9,0,10,0,True,True,False,False,False,True,False,False,False,False
芦ノ湖温泉,神奈川県,箱根町,元箱根,なし,4.15,2864,13,12,8,7,1,11,2,True,False,False,True,False,False,False,False,False,False
美ヶ原温泉,長野県,松本市,大字里山辺,https://www.mcci.or.jp/www/utsukushi/,4.35,5132,13,12,10,9,2,12,0,True,False,False,False,False,False,False,False,False,False
日田温泉,大分県,日田市,隈一丁目,http://www.hita-onsen.com,4.28,3379,14,12,9,8,3,14,1,True,True,True,False,False,True,False,False,False,False
宝泉寺温泉,大分県,九重町,大字町田,http://www.housenji.jp,4.19,1701,15,12,6,12,0,12,1,True,True,False,False,False,False,False,False,False,False
人吉温泉,熊本県,人吉市,上青井町,http://hitoyoshionsen.net,4.15,3239,19,12,8,5,2,15,0,True,True,True,False,True,True,False,False,False,False
別所温泉,長野県,上田市,別所温泉,http://www.bessho-spa.jp/,4.39,3362,12,12,9,10,2,12,4,False,False,False,True,False,False,False,False,False,False
湯川温泉,岩手県,西和賀町,湯川,http://www.yamanoideyu.com/stay/index.html,4.34,1079,12,11,7,5,0,11,1,True,True,False,False,True,False,False,False,False,False
さくらんぼ東根温泉,山形県,東根市,温泉町一丁目,http://www.higashineonsen.com,4.04,893,14,11,9,4,1,9,0,True,True,True,True,True,False,False,False,False,False
両津温泉,新潟県,佐渡市,原黒,なし,3.82,1077,12,11,9,5,0,11,0,False,True,True,False,False,False,False,False,False,False
間人温泉郷,京都府,京丹後市,丹後町間人,なし,4.48,1244,11,11,9,7,1,11,3,True,False,False,False,True,True,False,False,False,False
天橋立温泉,京都府,宮津市,字文珠,なし,4.11,3348,11,11,9,9,1,11,3,False,True,True,False,False,False,False,True,False,False
洲本温泉,兵庫県,洲本市,海岸通一丁目,なし,4.21,12645,11,11,9,10,9,10,3,True,True,False,False,True,True,False,False,False,False
龍神温泉,和歌山県,田辺市,龍神村龍神,http://www.ryujin-kanko.jp/contents/spa/index.html,4.51,1734,11,11,6,3,0,11,0,False,False,True,False,False,False,False,False,False,False
湯郷温泉,岡山県,美作市,湯郷,http://spa-yunogo.or.jp,4.11,5502,12,11,11,9,2,11,0,False,True,False,False,True,False,False,False,False,False
武雄温泉,佐賀県,武雄市,武雄町大字昭和,http://www.takeo-kk.net,4.19,3786,13,11,9,6,2,11,1,True,False,False,False,False,False,False,False,False,False
雲仙温泉,長崎県,雲仙市,小浜町雲仙,http://www.unzen.org,4.44,3829,12,11,9,10,4,12,3,True,False,False,True,True,True,True,True,False,False
山鹿温泉,熊本県,山鹿市,宗方通,http://www.y-kankoukyoukai.com,4.14,1928,12,11,8,4,0,10,0,True,False,False,False,False,True,False,False,False,False
下田温泉,熊本県,天草市,天草町下田北,http://amakusa-shimoda-onsen.jp,4.11,1839,11,11,9,6,0,11,1,True,True,True,False,False,False,False,False,False,False
利尻富士温泉,北海道,利尻富士町,鴛泊,なし,4.33,761,10,10,4,2,0,10,0,False,True,True,False,False,False,False,False,False,False
ウトロ温泉,北海道,斜里町,ウトロ東,なし,4.29,5443,11,10,8,7,3,10,0,True,True,True,False,False,False,False,False,False,False
層雲峡温泉,北海道,上川町,字層雲峡,http://www.sounkyo.net,3.53,6618,10,10,8,8,5,10,0,True,False,True,True,False,False,False,False,False,False
阿寒湖温泉,北海道,釧路市,阿寒町阿寒湖温泉二丁目,http://akanko-spa.jp,4.06,4777,13,10,7,6,2,9,1,True,True,True,False,False,False,False,False,False,False
浅虫温泉,青森県,青森市,大字浅虫,http://www.asamushi.com/,4.23,3740,11,10,8,7,1,8,0,True,True,False,False,True,True,False,False,False,False
田沢湖高原温泉郷,秋田県,仙北市,田沢湖生保内,http://tazawakokougen.jp,4.13,2033,12,10,8,5,0,10,0,False,False,True,True,True,True,False,False,False,False
銀山温泉,山形県,尾花沢市,大字銀山新畑,http://www.ginzanonsen.jp,4.56,1017,10,10,6,4,0,8,0,False,True,True,True,True,True,False,False,False,False
赤湯温泉,山形県,南陽市,赤湯,http://www.akayu-onsen.com,4.26,2968,13,10,9,8,0,9,1,False,True,False,True,False,False,False,False,False,False
宮ノ下温泉,神奈川県,箱根町,宮ノ下,http://www.miyanoshita.com,4.29,2576,11,10,6,7,3,10,4,True,True,False,False,False,False,False,False,False,False
大町温泉郷,長野県,大町市,平,http://www.omachionsen.jp,4.21,4218,10,10,10,9,2,10,0,True,False,False,False,False,False,False,False,False,False
白骨温泉,長野県,松本市,安曇,http://www.shirahone.org,4.48,3887,12,10,9,9,0,9,1,False,True,True,True,False,False,False,False,False,False
下諏訪温泉,長野県,下諏訪町,－,http://shimosuwa.com,4.26,1105,10,10,3,4,0,8,0,True,True,False,False,False,True,False,False,False,False
輪島温泉,石川県,輪島市,マリンタウン,http://www.wajimaonsen.com/index.shtml,4.08,3325,11,10,4,3,2,11,0,False,True,True,False,False,False,False,False,False,False
湯ヶ島温泉,静岡県,伊豆市,湯ケ島,http://www.amagigoe.jp/index.html,3.88,1745,11,10,7,6,1,10,1,True,True,False,False,True,True,False,False,False,False
舘山寺温泉,静岡県,浜松市西区,舘山寺町,http://www.kanzanji.gr.jp,4.18,6494,11,10,10,8,3,11,1,False,True,False,False,False,False,False,False,False,False
福地温泉,岐阜県,高山市,奥飛騨温泉郷福地,http://www.fukujionsen.com,4.34,921,10,10,7,10,0,8,1,True,False,True,False,False,False,False,False,False,False
雄琴温泉,滋賀県,大津市,雄琴六丁目,なし,4.34,7269,10,10,8,8,3,10,4,True,True,True,False,False,False,False,False,False,False
柴山温泉,兵庫県,香美町,香住区浦上,なし,4.04,456,11,10,6,2,1,10,3,True,False,False,False,True,False,False,False,False,False
うずしお温泉,兵庫県,南あわじ市,阿那賀,http://awajiinfo.com/uzusio-onsen/,4.38,1714,10,10,5,2,1,7,0,False,False,True,False,False,False,False,False,False,False
松江宍道湖温泉,島根県,松江市,西茶町,http://www.shinjiko-onsen.jp/,4.32,11885,10,10,6,4,0,10,1,False,True,False,False,True,True,False,False,False,False
琴平温泉,香川県,琴平町,－,なし,4.04,7932,10,10,9,5,3,10,2,True,True,True,False,True,True,False,False,False,False
原鶴温泉,福岡県,朝倉市,杷木久喜宮,http://www.harazuru.jp,3.96,3654,17,10,10,9,2,10,0,True,True,True,True,False,False,False,True,False,False
小田温泉,熊本県,南小国町,大字満願寺,http://www.otaonsen.jp,4.50,1585,15,10,7,10,0,9,1,True,True,True,True,True,True,False,False,False,False
日奈久温泉,熊本県,八代市,日奈久中西町,http://www.hinagu.jp,4.14,1106,17,10,5,1,1,10,0,True,True,False,True,False,True,False,False,False,False
霧島神宮温泉,鹿児島県,霧島市,霧島田口,http://kirishimakankou.com,3.89,1862,14,10,6,6,3,10,2,True,False,True,True,False,True,False,False,False,False
えちごせきかわ温泉郷,新潟県,関川村,大字湯沢,http://www.sekikawa-onsen.com/,4.23,792,16,10,9,4,0,10,1,True,True,False,False,True,True,False,False,False,False
信州高山温泉郷,長野県,高山村,大字奥山田,http://shinshu-takayama-onsenkyo.com/,4.48,964,14,10,6,7,0,9,1,True,True,False,True,False,True,False,False,False,False
新川渓谷温泉郷,鹿児島県,霧島市,牧園町下中津川,なし,4.43,1403,16,10,7,6,1,10,1,False,True,True,False,False,False,False,False,False,False
稚内温泉,北海道,稚内市,中央二丁目,なし,4.12,4884,9,9,6,1,3,9,0,False,True,True,False,False,False,False,False,False,False
十和田湖温泉郷,青森県,十和田市,大字奥瀬,なし,4.36,2362,11,9,8,5,1,9,2,True,True,True,True,True,False,False,False,False,False
東鳴子温泉,宮城県,大崎市,鳴子温泉,http://higasinaruko.michikusa.jp,3.58,1664,12,9,9,7,0,9,0,True,True,True,True,True,True,False,False,False,False
土湯温泉,福島県,福島市,土湯温泉町,http://www.tcy.jp,4.35,1749,10,9,7,7,2,9,2,True,False,True,False,False,False,False,False,False,False
中ノ沢温泉,福島県,猪苗代町,大字蚕養,なし,3.94,1394,11,9,7,7,1,8,0,False,True,False,True,True,False,True,False,False,False
岳温泉,福島県,二本松市,岳温泉一丁目,http://www.dakeonsen.or.jp,4.05,2740,12,9,7,6,2,9,0,True,False,False,False,False,False,True,False,False,False
芦ノ牧温泉,福島県,会津若松市,大戸町大字芦牧,http://www.aizu-ashinomaki.jp,4.28,5413,10,9,9,9,3,9,1,True,True,False,False,True,True,False,False,False,False
中禅寺温泉,栃木県,日光市,中宮祠,http://www.chuzenji.jp,4.14,3472,10,9,6,6,1,9,2,True,False,False,True,False,True,False,False,False,False
岩室温泉,新潟県,新潟市西蒲区,岩室温泉,http://www.iwamurokankou.com,4.47,2097,11,9,8,8,0,10,3,True,True,True,True,False,True,False,False,False,False
弥彦温泉,新潟県,弥彦村,大字弥彦,http://www.e-yahiko.com,4.24,1940,13,9,7,3,1,9,0,True,True,False,True,False,False,False,False,False,False
六日町温泉,新潟県,南魚沼市,坂戸,http://www.muikamachi-onsen.jp/,4.13,990,11,9,7,5,0,9,0,True,True,False,False,False,False,False,False,False,False
宇奈月温泉,富山県,黒部市,宇奈月温泉,http://www.unazuki-onsen.com,4.38,8427,12,9,9,8,4,9,1,True,False,False,False,False,False,False,False,False,False
湯涌温泉,石川県,金沢市,湯涌荒屋町,http://yuwaku.gr.jp,4.50,1558,9,9,8,8,0,9,3,False,True,False,True,False,True,False,False,False,False
片山津温泉,石川県,加賀市,潮津町,http://www.katayamazu-spa.or.jp,4.07,5894,9,9,9,9,1,9,0,False,True,False,False,False,False,False,False,False,False
下賀茂温泉,静岡県,南伊豆町,下賀茂,なし,4.16,950,10,9,4,6,0,8,0,True,True,False,False,False,False,False,False,False,False
浜坂温泉,兵庫県,新温泉町,芦屋,http://www.hamasaka.com,4.16,597,10,9,3,1,0,9,1,False,True,False,False,False,False,False,False,False,False
萩温泉,山口県,萩市,大字椿東,なし,4.30,9656,9,9,9,8,3,9,1,False,True,False,False,False,False,False,False,False,False
たら竹崎温泉,佐賀県,太良町,大字大浦乙,なし,4.24,938,9,9,6,4,1,9,1,True,True,True,False,False,False,False,False,False,False
平山温泉,熊本県,山鹿市,平山,http://www.hirayama-onsen.jp,4.21,1511,15,9,6,9,3,9,1,True,False,False,True,True,True,False,False,False,False
菊池温泉,熊本県,菊池市,隈府,http://www.kikuchikanko.ne.jp,3.63,1126,14,9,7,4,0,9,0,True,False,False,True,True,True,False,False,False,False
植木温泉,熊本県,熊本市北区,植木町米塚,http://www.ueki-onsenkumiai.com,4.76,650,10,9,5,8,0,6,0,True,True,True,True,False,False,False,False,False,False
亀川温泉,大分県,別府市,大字野田,なし,4.39,2109,9,9,3,5,1,9,1,True,True,False,False,False,True,False,False,False,False
わいた温泉郷,熊本県,小国町,大字西里,http://waita.info,4.49,543,10,9,5,8,1,9,1,True,True,False,True,False,True,False,False,False,False
ニセコ温泉郷,北海道,ニセコ町,字ニセコ,https://www.niseko-ta.jp/resorts/hotspring/,4.04,2423,9,9,9,9,2,9,4,False,True,True,True,True,True,False,False,False,False
松島温泉,宮城県,松島町,磯崎,なし,4.27,7418,9,9,9,7,4,9,2,True,True,True,False,True,False,False,False,False,False
土湯温泉郷,福島県,福島市,土湯温泉町,なし,4.35,1749,10,9,7,7,2,9,2,True,False,True,False,False,False,False,False,False,False
網走湖畔温泉,北海道,網走市,新町一丁目,なし,3.92,6375,10,8,9,4,5,10,1,True,True,False,False,False,False,False,False,False,False
十勝川温泉,北海道,音更町,十勝川温泉南十三丁目,http://www.tokachigawa.net,4.24,4654,9,8,7,7,6,8,1,True,True,True,False,False,False,False,False,False,False
黒石温泉郷,青森県,黒石市,大字袋,http://kuroishi.or.jp/stay_onsen,4.24,661,12,8,7,2,0,8,0,True,True,False,False,True,True,False,False,False,False
繋温泉,岩手県,盛岡市,繋,http://www.tsunagionsen.com,4.25,4386,8,8,6,6,3,7,0,True,False,False,True,False,False,False,False,False,False
台温泉,岩手県,花巻市,台,なし,4.27,1383,13,8,5,3,0,8,1,True,True,True,True,True,False,False,False,False,False
鬼首温泉,宮城県,大崎市,鳴子温泉鬼首,http://www.naruko.gr.jp/shukuhaku/spa/03/,―,84,10,8,1,3,0,8,0,True,True,False,False,False,False,False,False,False,False
赤倉温泉,山形県,最上町,大字富澤,http://akakura-spa.com,4.29,312,9,8,7,4,0,8,0,True,False,False,False,True,False,False,False,False,False
檜枝岐温泉,福島県,檜枝岐村,字下ノ原,http://www.oze-info.jp,4.56,546,9,8,4,2,0,8,0,True,False,False,False,False,False,False,False,False,False
水上温泉,群馬県,みなかみ町,湯原,http://www.minakami-onsen.com,4.24,8189,11,8,8,4,2,9,0,True,False,True,False,True,True,False,False,False,False
養老渓谷温泉,千葉県,大多喜町,粟又,http://www.yorokeikoku.com,4.28,1136,10,8,6,3,1,8,0,True,True,True,False,True,False,False,False,False,False
天津小湊温泉,千葉県,鴨川市,天津,なし,4.17,5897,8,8,8,7,1,8,0,True,True,True,False,False,False,False,False,False,False
白浜温泉,千葉県,南房総市,白浜町白浜,なし,3.87,7754,8,8,7,2,2,8,1,True,True,True,False,False,False,False,False,False,False
塔之沢温泉,神奈川県,箱根町,塔之澤,なし,4.38,1771,8,8,7,6,0,8,4,True,False,False,False,False,False,False,False,False,False
咲花温泉,新潟県,阿賀野市,小松,http://www.sakihana.jp,3.89,2850,8,8,8,7,0,8,0,False,True,False,True,True,False,False,False,False,False
松之山温泉,新潟県,十日町市,松之山湯本,なし,4.55,683,10,8,6,5,0,7,1,False,True,False,False,False,False,False,False,False,False
ほたる温泉,長野県,山ノ内町,大字平穏,なし,3.63,1182,8,8,7,6,0,8,0,True,False,True,True,True,False,False,False,False,False
湯村温泉,兵庫県,新温泉町,湯,なし,4.46,3991,9,8,6,5,2,8,0,True,True,True,False,True,True,False,True,False,False
湯の峰温泉,和歌山県,田辺市,本宮町湯峯,http://www.hongu.jp/onsen/yunomine,4.44,451,9,8,5,5,0,8,0,False,True,True,True,False,False,False,True,False,False
鳥取温泉,鳥取県,鳥取市,永楽温泉町,なし,4.35,5350,8,8,7,1,1,8,0,False,True,True,False,False,True,False,False,False,False
はわい温泉,鳥取県,湯梨浜町,大字はわい温泉,http://www.hawai-togo.jp,4.13,1870,8,8,7,5,0,8,0,False,True,False,False,True,True,False,False,False,False
湯坪温泉,大分県,九重町,大字湯坪,http://www.kokonoe-k.com/spring03/,―,305,17,8,0,7,0,8,0,True,True,False,True,False,False,False,False,False,False
玉名温泉,熊本県,玉名市,立願寺,http://tamanaonsen.kumanomoto.com,4.09,1836,11,8,7,8,3,7,0,True,False,False,False,False,True,False,False,False,False
松島温泉,熊本県,上天草市,松島町合津,なし,4.36,2229,9,8,5,4,0,8,0,True,True,False,False,False,False,False,False,False,False
妙見温泉,鹿児島県,霧島市,牧園町下中津川,http://www.myoken-onsen.com,4.37,1061,11,8,5,5,1,8,1,False,True,True,False,False,False,False,False,False,False
梅ヶ島温泉郷,静岡県,静岡市葵区,梅ヶ島,http://www.umegashima.net/,4.56,699,11,8,4,2,0,8,0,False,False,False,True,False,False,False,False,False,False
川場温泉郷,群馬県,川場村,大字川場湯原,なし,4.29,565,10,8,2,2,0,8,1,True,True,False,False,False,False,False,False,False,False
川湯温泉,北海道,弟子屈町,川湯温泉一丁目,なし,3.69,2560,9,7,6,6,2,6,1,False,True,True,True,False,True,True,True,False,False
大鰐温泉,青森県,大鰐町,大字蔵館,http://www.aomoricolony.com/~owanionsen/pege/home.html,4.28,1059,9,7,3,1,0,6,0,True,True,False,False,True,True,False,False,False,False
川渡温泉,宮城県,大崎市,鳴子温泉,http://kawatabi.jp,―,295,9,7,3,2,0,5,0,True,False,True,True,False,True,False,False,False,False
小安峡温泉,秋田県,湯沢市,皆瀬,http://www.oyasukyo.jp,―,501,9,7,4,5,0,5,0,True,True,False,False,False,True,False,False,False,False
湯田川温泉,山形県,鶴岡市,湯田川,http://www.yutagawaonsen.com,4.78,881,8,7,5,2,0,7,0,False,False,False,False,True,True,False,False,False,False
板室温泉,栃木県,那須塩原市,百村,http://www.itamuro.com,3.65,918,8,7,6,4,0,7,0,True,False,False,False,True,False,False,False,False,False
谷川温泉,群馬県,みなかみ町,谷川,なし,4.68,1883,7,7,5,6,1,7,1,True,False,False,False,False,False,False,False,False,False
磯部温泉,群馬県,安中市,磯部一丁目,なし,4.20,2889,7,7,5,4,1,7,1,False,True,True,False,False,False,False,True,False,False
千倉温泉,千葉県,南房総市,千倉町瀬戸,なし,4.18,2886,8,7,6,2,0,7,0,True,True,True,True,False,False,False,False,False,False
奥湯河原温泉,神奈川県,湯河原町,宮上,なし,4.40,1606,7,7,5,6,0,6,4,False,True,False,False,True,True,False,False,False,False
芦安温泉,山梨県,南アルプス市,芦安芦倉,なし,4.59,500,9,7,2,5,1,7,0,True,False,False,False,True,True,False,False,False,False
奈川渋沢温泉,長野県,松本市,奈川,なし,3.80,124,9,7,4,2,0,7,0,True,False,True,False,False,False,False,False,False,False
早太郎温泉,長野県,駒ヶ根市,赤穂,http://hayataro.org,4.32,2685,8,7,6,4,2,7,1,True,False,False,False,False,False,False,False,False,False
粟津温泉,石川県,小松市,粟津町,http://www.awazuonsen.com,4.08,8709,8,7,6,5,2,6,0,True,False,False,False,True,False,False,False,False,False
梅ヶ島温泉,静岡県,静岡市葵区,梅ヶ島,http://www.umegashima.net,4.53,613,9,7,4,1,0,7,0,False,False,False,True,False,False,False,False,False,False
宇佐美温泉,静岡県,伊東市,宇佐美,なし,4.30,513,7,7,1,2,0,7,0,True,True,False,False,False,True,False,False,False,False
河津七滝温泉,静岡県,河津町,梨本,http://www.nanadaru.com,―,417,9,7,2,7,1,6,0,True,False,False,False,True,False,False,False,False,False
松崎温泉,静岡県,松崎町,江奈,http://izumatsu-ryokan.jp,3.64,1026,8,7,4,3,0,7,0,False,False,False,False,True,True,False,False,False,False
西浦温泉,愛知県,蒲郡市,西浦町,http://www.nishiuraonsen.com,3.85,4450,7,7,7,7,1,7,1,True,True,False,False,False,False,False,False,False,False
十津川温泉,奈良県,十津川村,大字平谷,http://totsukawa.info/joho/totsukawa_onsen_gou/2totsukawa_onsen.html,4.25,999,8,7,4,6,1,6,1,False,True,True,True,False,False,False,False,False,False
七釜温泉,兵庫県,新温泉町,七釜,http://www.hamasaka.com/html/info_shitikama.html,―,212,8,7,2,1,0,6,1,False,False,False,False,False,True,False,False,False,False
赤穂温泉,兵庫県,赤穂市,さつき町,http://ako-kankou.jp,4.17,4668,7,7,7,7,3,7,1,True,True,False,False,True,False,False,False,False,False
川湯温泉,和歌山県,田辺市,本宮町川湯,http://www.hongu.jp/onsen/kawayu,4.23,2408,8,7,2,5,0,6,0,True,True,True,False,False,False,False,False,False,False
吉岡温泉,鳥取県,鳥取市,吉岡温泉町,http://yoshiokaonsen.com,―,271,10,7,0,0,0,5,0,True,False,False,False,False,False,False,False,False,False
美又温泉,島根県,浜田市,金城町追原,なし,―,738,7,7,2,1,1,6,0,True,False,False,False,False,False,False,False,False,False
俵山温泉,山口県,長門市,俵山,http://tawarayamaonsen.com,4.49,538,8,7,1,2,0,8,0,True,False,False,True,False,False,False,False,False,False
奥久慈温泉郷,茨城県,大子町,大字袋田,なし,3.97,2577,10,7,6,3,0,7,0,True,True,False,False,True,True,False,False,False,False
五頭温泉郷,新潟県,阿賀野市,村杉,http://gozu.jp,4.35,531,12,7,5,4,0,7,0,True,False,False,False,True,True,False,False,False,False
観海寺温泉,大分県,別府市,観海寺,なし,4.64,11075,7,7,3,6,2,7,2,True,True,False,True,False,True,False,False,False,False
摩周温泉,北海道,弟子屈町,湯の島二丁目,なし,―,575,7,6,2,1,0,6,0,True,True,True,False,False,False,False,False,False,False
ニセコ昆布温泉,北海道,ニセコ町,字ニセコ,なし,4.12,2061,6,6,6,6,2,6,2,False,True,True,False,True,False,False,False,False,False
支笏湖温泉,北海道,千歳市,支笏湖温泉,http://www.shikotsuko.com,4.39,2079,6,6,3,5,3,6,3,False,True,True,False,True,False,False,False,False,False
長万部温泉,北海道,長万部町,字長万部,http://www.osyamanbe-kankou.jp/onsenkumiai/,3.72,622,7,6,1,1,0,6,0,False,True,False,False,False,False,False,False,False,False
下風呂温泉,青森県,風間浦村,大字下風呂,http://www.shimohuro.com,―,145,10,6,1,1,1,3,0,False,True,False,True,True,False,False,False,False,False
中山平温泉,宮城県,大崎市,鳴子温泉,http://www.nakayamadaira.com,4.02,571,9,6,5,5,0,6,0,True,True,True,True,True,False,False,False,False,False
青根温泉,宮城県,川崎町,青根温泉,"http://www.town.kawasaki.miyagi.jp/18,615,66,178.html",4.32,873,7,6,3,3,0,6,1,True,False,False,False,False,False,False,False,False,False
大湯温泉,秋田県,鹿角市,十和田大湯,http://www.ink.or.jp/~o-yu/,4.22,1716,7,6,6,3,1,6,0,True,True,False,False,False,False,False,False,False,False
男鹿温泉,秋田県,男鹿市,北浦湯本,http://www.e-ogaonsen.com,4.12,2160,6,6,5,4,1,6,0,False,True,False,False,False,False,False,False,False,False
あつみ温泉,山形県,鶴岡市,湯温海,http://www.atsumi-spa.or.jp,4.26,3181,8,6,4,2,1,6,0,False,True,False,False,True,False,False,False,False,False
川治温泉,栃木県,日光市,川治温泉川治,なし,4.08,3750,7,6,5,4,2,6,0,True,False,False,False,False,False,False,False,False,False
平潟港温泉,茨城県,北茨城市,平潟町,なし,3.74,664,13,6,4,1,0,6,0,False,True,False,True,False,False,False,False,False,False
湯檜曽温泉,群馬県,みなかみ町,湯桧曽,なし,―,988,7,6,6,3,0,6,0,True,False,False,False,False,False,False,False,False,False
鹿沢温泉,群馬県,嬬恋村,大字田代,http://www.kazawaonsen.com,3.88,282,7,6,4,3,0,6,0,True,False,True,False,False,False,False,False,False,False
七沢温泉,神奈川県,厚木市,七沢,なし,4.32,1145,9,6,6,6,0,8,0,True,False,False,False,False,False,False,False,False,False
湯村温泉,山梨県,甲府市,湯村三丁目,http://www.yumura.com,4.22,4346,7,6,6,4,1,6,1,True,True,False,False,True,True,False,False,False,False
鵜の浜温泉,新潟県,上越市,大潟区雁子浜,http://www.o-kankou.com/tomaru/,3.98,773,7,6,5,3,0,5,0,False,True,False,False,False,False,False,True,False,False
